longitude,latitude,DataOwner Code = OVA,Quay-nr CHB,Haltenr vv,Duplicaat haltenr,Haltebordnr,Haltenaam CHB,Haltenaam CHB correctie,Perron-aanduiding,Woonplaats,Woonplaats correctie,Gemeente code,Gemeente naam,Wegbeheerder naam,Wegbeheerder naam correctie,Wegbeheerder type,Wegbeheerder type correctie,Straat,Straat correctie,Locatieomschrijving,Lijnen en Bestemmingen,Hoofdmodaliteit,StopPlace Code CHB,Tweede Modaliteit CHB,StopPlace Code CHB correctie,RD-X correctie,RD-Y correctie,Windroosrichting [graden],Windroosrichting correctie [graden],Status,Status correctie,Type halte,Type halte correctie,Opnamedatum + tijdstip / ingangsdatum,Aanpassing motorisch beperkten [Y/N],Aanpassing visueel beperkten [Y/N],Perrontype,Diepte haltehaven [meter],Halteerlengte inrijhoek [meter],Lengte halteerplaats [meter],Halteerlengte uitrijhoek [meter],Perron hoogte [meter],Perronbreedte instapdeur [meter],Perronbreedte uitstapdeur [meter],Lengte verhoogde deel perron [meter],Minimale breedte barriere vrije doorgang perron [meter],Hellingbaan aanwezig? [Y/N],Lengte hellingbaan [meter],Breedte aanlooproute/hellingbaan [meter],Hoogteverschil tussen perron en directe omgeving [meter],Markering perronrand [Y/N],Geleidelijn aanwezig [Y/N],Geleidelijn over hele lengte halte [Y/N],Aansluiting geleidelijn op omgeving [Y/N],Instap-markering aanwezig [Y/N],Instap-markering afwijking in kleur - klank en/of tast [Y/N],Haltebord aanwezig [Y/N],Niveau [-2 / -1 / 0 / 1 / 2],Lift aanwezig [Y/N],Afvalbak aanwezig? [Y/N],Halte verlicht? [Y/N],Abri Aanwezig [Y/N],Informatie-vitrine aanwezig [Y/N],Reclame in abri? [Y/N],Zitgelegenheid aanwezig [Y/N],Fiets-parkeer-voorziening [Y/N],Aantal fietsplaatsen,OVC in-uitcheck op halte? [Y/N],OVC oplaad-faciliteit aanwezig op halte? [Y/N],Aanwezigheid statische reisinfo: Halte-vertrekstaat [Y/N],Lijnennet-kaart aanwezig? [Y/N],DRIS aanwezig? [Y/N],DRIS audioknop aanwezig? [Y/N],Aantal regels op DRIS,Haltefotoref,Opnamedatum foto,Opmerkingen,Perron toegankelijk vanuit directe omgeving? [Y/N],Stasteun [Y/N]
5.102297663212632,52.06413927345691,PUT,NL:Q:50002670,50002670,0,,Australilaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Australielaan,,,"7 Kanaleneiland, 7 Kanaleneiland",bus,,,,,,71,,available,,regular,,2011-04-04 09:25:00,Y,Y,langshalte,0,0,18,0,"0,18","2,10","2,10",18,1,N,0,"2,10","0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,N,N,N,N,N,0,N,N,Y,N,N,N,,3689A9F9-CA1D-4895-B17769A45FF08D72.JPG,2011-03-30 16:01:02,,N,N
5.09954401715577,52.063746095999001,PUT,NL:Q:50002650,50002650,0,,Azilaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Columbuslaan,,,"7 Kanaleneiland, 7 Kanaleneiland",bus,,,,,,136,,available,,regular,,2011-04-04 12:20:00,Y,Y,langshalte,0,18,0,0,"0,18",5,5,18,1,N,0,5,"0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,Y,Y,N,Y,N,0,N,N,N,N,N,N,,24EA327F-B1C2-404D-A0FF7C3F7F9F37EB.JPG,2011-03-30 15:33:18,,N,N
5.098839249288798,52.064490386904971,PUT,NL:Q:50002660,50002660,0,,Azilaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Columbuslaan,,,"7 Voordorp via Utrecht CS, 7 Voordorp via Utrecht CS",bus,,,,,,318,,available,,regular,,2011-03-24 15:32:00,Y,Y,langshalte,0,0,18,0,"0,18","2,50","2,50",18,1,N,0,"2,50","0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,Y,Y,N,Y,N,0,N,N,Y,N,Y,Y,0,62429BE4-ABA1-4EB7-AFCB9C63894A6DE3.JPG,2011-03-25 14:14:16,,N,N
5.179883195305267,52.085216515030524,PUT,NL:Q:50100530,50100530,0,,AZU,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Heidelberglaan,,,"242 De Uithof WKZ via Bunnik NS, 252 Amersfoort via Vollenhove, 28 De Uithof P+R via Utrecht CS, 281 De Uithof WKZ via Rijnsweerd, 283 De Uithof WKZ via Rijnsweerd, 287 De Uithof WKZ via Rijnsweerd, 30 De Uithof WKZ via Rijnsweerd, 30 Leidsche Rijn Ziekenhuis, 32 De Uithof WKZ via Rijnsweerd, 71 Doorn via De Uithof, 71 Drieb.-Zeist NS, 71 Drieb.-Zeist NS via De Uithof, 72 Bilthoven NS, 72 Bilthoven via De Uithof, 150 Utrecht Uithof via Blaricum, 276 Amersfoort Campagnergaarde, 296 Amersfoort Kattenbroek, 299 Leusden-Centrum Carpoolplaats, 623 Amersfoort GSG Paladijn.wg, 150 Utrecht Uithof via Blaricum, 276 Amersfoort Campagnergaarde, 296 Amersfoort Kattenbroek, 299 Leusden-Centrum Carpoolplaats, 623 Amersfoort GSG Paladijn.wg, 242 De Uithof WKZ via Bunnik NS, 252 Amersfoort via Vollenhove, 28 De Uithof P+R via Utrecht CS, 281 De Uithof WKZ via Rijnsweerd, 283 De Uithof WKZ via Rijnsweerd, 287 De Uithof WKZ via Rijnsweerd, 30 De Uithof WKZ via Rijnsweerd, 30 Leidsche Rijn Ziekenhuis, 32 De Uithof WKZ via Rijnsweerd, 71 Doorn via De Uithof, 71 Drieb.-Zeist NS, 71 Drieb.-Zeist NS via De Uithof, 72 Bilthoven NS, 72 Bilthoven via De Uithof",bus,nl.bus.50100530,,,,,77,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.180202795487161,52.085513682342459,PUT,NL:Q:50100531,50100531,0,,AZU,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,,,,"12 De Uithof AZU via Galgenwaard, 31 De Uithof AZU via Rijnsweerd, 12 De Uithof AZU via Galgenwaard, 31 De Uithof AZU via Rijnsweerd",bus,nl.bus.50100530,,,,,101,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.179372933624846,52.085134724329698,PUT,NL:Q:50100533,50100533,0,,AZU,,,utrecht,,GM0344,Utrecht,Utrecht,,G,,Heidelberglaan,,,"150 Almere Buiten via Blaricum, 276 Utrecht Rijnsweerd Nrd, 296 Utrecht Rijnsweerd Nrd, 299 Utrecht Rijnsweerd Nrd, 623 Utr.-De Uithof Acad. Ziekenhuis, 150 Almere Buiten via Blaricum, 276 Utrecht Rijnsweerd Nrd, 296 Utrecht Rijnsweerd Nrd, 299 Utrecht Rijnsweerd Nrd, 623 Utr.-De Uithof Acad. Ziekenhuis",bus,nl.bus.50100530,,,,,256,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.179810330415355,52.085198410791811,PUT,NL:Q:50100540,50100540,0,,AZU,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Heidelberglaan,,,"12 Utrecht CS Centrumzijde, 242 Wijk bij Duurstede, 252 Rijnsweerd via De Uithof, 28 Vleuterweide via Centrum, 281 Houten-Zuid via Houten NS, 283 IJsselstein, 287 Vianen Lekbrug, 30 Leidsche Rijn via Overv. NS, 30 Overvecht-Zuid via Overv. NS, 31 Lunetten NS, 32 Maarssen via Zuilen, 71 Nieuwegein-C via De Uithof, 71 Rijnsweerd via De Uithof, 72 Nieuwegein-C via De Uithof, 72 Nieuwegein-Z via De Uithof, 12 Utrecht CS Centrumzijde, 242 Wijk bij Duurstede, 252 Rijnsweerd via De Uithof, 28 Vleuterweide via Centrum, 281 Houten-Zuid via Houten NS, 283 IJsselstein, 287 Vianen Lekbrug, 30 Leidsche Rijn via Overv. NS, 30 Overvecht-Zuid via Overv. NS, 31 Lunetten NS, 32 Maarssen via Zuilen, 71 Nieuwegein-C via De Uithof, 71 Rijnsweerd via De Uithof, 72 Nieuwegein-C via De Uithof, 72 Nieuwegein-Z via De Uithof",bus,nl.bus.50100530,,,,,257,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.114741014326655,52.077839589291784,PUT,NL:Q:50000950,50000950,0,,Balijelaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Balijelaan,,,"474 Vianen via Galecop, 495 IJsselstein via Jutphaas, 74 Nieuwegein-C via Utrecht CS, 74 Vianen via Utrecht CS, 77 Nieuwegein-C via Utrecht CS, 77 Nieuwegein-Z via Utrecht CS, 474 Vianen via Galecop, 495 IJsselstein via Jutphaas, 74 Nieuwegein-C via Utrecht CS, 74 Vianen via Utrecht CS, 77 Nieuwegein-C via Utrecht CS, 77 Nieuwegein-Z via Utrecht CS",bus,nl.bus.50000950,,,,,236,,available,,regular,,2012-08-01 10:20:00,N,Y,haltehaven,"3,5",6,12,15,"0,12","1,05","1,05",12,1,N,0,"1,50","0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,Y,Y,N,Y,N,0,N,N,Y,N,N,N,,458EDB3C-1B16-4135-B6A788A44F4E6916.JPG,2012-08-02 10:20:12,,N,N
5.114028437149181,52.077478416771783,PUT,NL:Q:50000960,50000960,0,,Balijelaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Balijelaan,,,"474 Utrecht CS Centrumzijde, 495 Utrecht CS Centrumzijde, 74 Zeist via Utrecht CS, 77 Bilthoven via Utrecht CS, 474 Utrecht CS Centrumzijde, 495 Utrecht CS Centrumzijde, 74 Zeist via Utrecht CS, 77 Bilthoven via Utrecht CS",bus,nl.bus.50000950,,,,,83,,available,,regular,,2012-08-07 12:23:00,Y,Y,langshalte,0,0,40,0,"0,18","1,50","1,50",40,1,N,0,"1,50","0,09",Y,Y,N,N,N,N,Y,0,N,Y,N,Y,Y,N,Y,N,0,N,N,Y,N,Y,Y,0,7DF5AC00-E204-4926-90C32DEAC2CC5BD1.JPG,2012-08-02 10:17:13,,N,N
5.114869837814346,52.078244350804084,PUT,NL:Q:50006370,50006370,0,,Balijelaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Croeselaan,,,"1 Hoograven via Utrecht CS, 81 Gorinchem Station, 1 Hoograven via Utrecht CS, 81 Gorinchem Station",bus,nl.bus.50000950,,,,,141,,available,,regular,,2012-08-07 12:23:00,Y,Y,langshalte,0,0,18,0,"0,18","1,50","1,50",18,1,N,0,"1,20","0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,Y,Y,N,Y,N,0,N,N,Y,N,Y,Y,0,597EF4F9-9CE9-433A-A021F84E931DBFD9.JPG,2012-08-02 10:22:22,,N,N
