Superhero;Slasher Horror;Thriller;Comdey;Animation;Romance;Sci-Fi;Musical;Fantasy ;Crime;Drama;Biography;Aventure
Superman;Jaws;The Prestige;The Wolf of Wall Street ;The Lion king;Forrest Gump;Inception;Grease;The Lord of the Rings;Knives out;The Shawshank Redemption;Oppenheimer;Dune
Marvel;The Shinning;Fight club;UP;How to Train Your Dragon;Titanic;Interstellar;Aladdin;The Green Mile;The Godfather;The Truman Show;The Social Network;Finding Nemo
The Incredibles ;IT;The Departed;The hangover;Coco;La La Land;Star wars;Mamma Mia!;De hobbit;Pulp Fiction;Whiplash;Behemian Rhapsody;Jurassic park
The Boys;The Conjuring;Seven;Shrek;Attack on Titan;The Notebook;Avatar ;Hamilton;Life of PI;Joker;American Beauty;Ford vs Ferrari;The Hunger Games
The Penguin ;The nun;Sinner;Kingsman;Minnons ;Friends with benefits;Back to the Future ;Wonka;Barbie;Catch Me if you can;Gladiator ;American Sniper;Indiana Jones
Batman;Death of a Unicorn;Nobody 2;Ted;Cars;The Fault in Our Stars ;Mad max;Beauty and the Beast;Harry Potter;Scarface;Top Gun;The Pianist;Pirates of Caribbean
